
@relation all-data-pacman
@attribute pacmanDirec {West, East, North, South, Stop}
@attribute pacmanXpos NUMERIC
@attribute pacmanYpos NUMERIC
@attribute LivingGhost1 {False, True}
@attribute LivingGhost2 {False, True}
@attribute LivingGhost3 {False, True}
@attribute LivingGhost4 {False, True}
@attribute ghost1XPos NUMERIC
@attribute ghost1YPos NUMERIC
@attribute ghost2XPos NUMERIC
@attribute ghost2YPos NUMERIC
@attribute ghost3XPos NUMERIC
@attribute ghost3YPos NUMERIC
@attribute ghost4XPos NUMERIC
@attribute ghost4YPos NUMERIC
@attribute ghost1Dist NUMERIC
@attribute ghost2Dist NUMERIC
@attribute ghost3Dist NUMERIC
@attribute ghost4Dist NUMERIC
@attribute currentScore NUMERIC
@attribute pacmanNextXPosition NUMERIC
@attribute pacmanNextYPosition NUMERIC
@attribute nextScore NUMERIC
@attribute action {West, East, North, South, Stop}
@data
Stop,4,12,True,True,True,True,9,3,11,7,19,12,22,9,14,12,15,21,-2,4,11,-3,South
South,4,11,True,True,True,True,9,3,11,7,19,12,22,9,13,11,16,20,-3,4,10,-4,South
South,4,10,True,True,True,True,9,3,11,7,19,12,22,9,12,10,17,19,-4,4,9,-5,South
South,4,9,True,True,True,True,9,3,11,7,19,12,22,9,11,9,18,18,-5,4,8,-6,South
South,4,8,True,True,True,True,9,3,11,7,19,12,22,9,10,8,19,19,-6,4,7,-7,South
South,4,7,True,True,True,True,9,3,11,7,19,12,22,9,9,7,20,20,-7,4,6,-8,South
South,4,6,True,True,True,True,9,3,11,7,19,12,22,9,8,8,21,21,-8,4,5,-9,South
South,4,5,True,True,True,True,9,3,11,7,19,12,22,9,7,9,22,22,-9,4,4,-10,South
South,4,4,True,True,True,True,9,3,11,7,19,12,22,9,6,10,23,23,-10,4,4,89,East
East,5,4,True,True,True,True,9,3,11,7,19,12,22,9,5,9,22,22,-11,5,4,88,East
East,6,4,True,True,True,True,9,3,11,7,19,12,22,9,4,8,21,21,-12,6,4,87,East
East,7,4,True,True,True,True,9,3,11,7,19,12,22,9,3,7,20,20,-13,7,3,86,South
South,7,3,True,True,True,True,9,3,11,7,19,12,22,9,2,8,21,21,-14,7,3,85,East
East,8,3,True,True,True,True,9,3,11,7,19,12,22,9,1,7,20,20,-15,8,3,184,East
East,9,3,False,True,True,True,1,1,11,7,19,12,22,9,0,6,19,19,184,9,3,283,East
East,10,3,False,True,True,True,1,1,11,7,19,12,22,9,0,5,18,18,183,10,3,182,East
East,11,3,False,True,True,True,1,1,11,7,19,12,22,9,0,4,17,17,182,11,4,281,North
North,11,4,False,True,True,True,1,1,11,7,19,12,22,9,0,3,16,16,181,11,5,280,North
North,11,5,False,True,True,True,1,1,11,7,19,12,22,9,0,2,15,15,180,11,6,179,North
North,11,6,False,True,True,True,1,1,11,7,19,12,22,9,0,1,14,14,179,11,7,378,North
North,11,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,13,13,378,11,7,477,East
East,12,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,12,12,377,12,7,376,East
East,13,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,11,11,376,13,7,375,East
