@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanDirec=West numeric
@attribute pacmanDirec=East numeric
@attribute pacmanDirec=North numeric
@attribute pacmanDirec=South numeric
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1=True numeric
@attribute LivingGhost2=True numeric
@attribute LivingGhost3=True numeric
@attribute LivingGhost4=True numeric
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
0,1,0,0,0.791667,0.4,0,0,1,1,0,0,0.058824,0,0.833333,0.533333,1,0.928571,0,0,0.043478,0.285714,East
0,1,0,0,0.833333,0.4,0,0,0,1,0,0,0.058824,0,0.166667,0,1,0.928571,0,0,0,0.257143,East
0,1,0,0,0.875,0.4,0,0,0,1,0,0,0.058824,0,0.166667,0,1,0.928571,0,0,0,0.228571,East
0,1,0,0,0.916667,0.4,0,0,0,1,0,0,0.058824,0,0.166667,0,1,0.928571,0,0,0,0.2,East
0,1,0,0,0.958333,0.4,0,0,0,1,0,0,0.058824,0,0.166667,0,1,0.928571,0,0,0,0.171429,East
0,0,1,0,0,0.2,1,1,1,1,0,0.642857,0,0.35,0.041667,0.533333,0.043478,0.428571,0.151515,0.235294,0.217391,0.114286,East
0,1,0,0,0.041667,0.2,1,1,1,1,0,0.642857,0,0.35,0.041667,0.533333,0.043478,0.428571,0.181818,0.176471,0.173913,0.085714,East
0,0,0,1,0.125,0.15,1,1,1,1,0.571429,0.142857,0.529412,0.3,0.75,0.733333,0.869565,0.571429,0.181818,0.588235,1,0.657143,East
0,1,0,0,0.166667,0.15,1,1,1,1,0.571429,0.142857,0.529412,0.3,0.75,0.733333,0.869565,0.571429,0.151515,0.529412,0.956522,0.628571,East
0,1,0,0,0.208333,0.15,1,1,1,1,0.571429,0.142857,0.529412,0.3,0.75,0.733333,0.869565,0.571429,0.121212,0.470588,0.913043,0.6,East
0,0,0,1,0.25,0.1,1,1,1,1,0.571429,0.142857,0.529412,0.3,0.75,0.733333,0.869565,0.571429,0.060606,0.470588,0.913043,0.6,East
0,1,0,0,0.291667,0.1,1,1,1,1,0.571429,0.142857,0.529412,0.3,0.75,0.733333,0.869565,0.571429,0.030303,0.411765,0.869565,0.571429,East
0,1,0,0,0.333333,0.1,0,1,1,1,0,0,0.529412,0.3,0.75,0.733333,0.869565,0.571429,0,0.352941,0.826087,0.542857,East
0,1,0,0,0.375,0.1,0,1,1,1,0,0,0.529412,0.3,0.75,0.733333,0.869565,0.571429,0,0.294118,0.782609,0.514286,East
0,0,1,0,0.416667,0.3,0,0,1,1,0,0,0.058824,0,0.75,0.733333,0.869565,0.571429,0,0,0.565217,0.371429,East
0,1,0,0,0.458333,0.3,0,0,1,1,0,0,0.058824,0,0.75,0.733333,0.869565,0.571429,0,0,0.521739,0.342857,East
0,1,0,0,0.5,0.3,0,0,1,1,0,0,0.058824,0,0.75,0.733333,0.869565,0.571429,0,0,0.478261,0.314286,East
0,1,0,0,0.541667,0.3,0,0,1,1,0,0,0.058824,0,0.75,0.733333,0.869565,0.571429,0,0,0.434783,0.285714,East
0,1,0,0,0.583333,0.3,0,0,1,1,0,0,0.058824,0,0.75,0.733333,0.869565,0.571429,0,0,0.391304,0.257143,East
0,1,0,0,0.625,0.3,0,0,1,1,0,0,0.058824,0,0.75,0.733333,0.869565,0.571429,0,0,0.347826,0.228571,East
0,1,0,0,0.666667,0.3,0,0,1,1,0,0,0.058824,0,0.75,0.733333,0.869565,0.571429,0,0,0.304348,0.2,East
0,1,0,0,0.708333,0.3,0,0,1,1,0,0,0.058824,0,0.75,0.733333,0.869565,0.571429,0,0,0.26087,0.171429,East
0,1,0,0,0.75,0.3,0,0,1,1,0,0,0.058824,0,0.75,0.733333,0.869565,0.571429,0,0,0.217391,0.142857,East
0,1,0,0,0.791667,0.3,0,0,1,1,0,0,0.058824,0,0.75,0.733333,0.869565,0.571429,0,0,0.26087,0.114286,East
0,1,0,0,0.833333,0.3,0,0,1,1,0,0,0.058824,0,0.75,0.733333,0.869565,0.571429,0,0,0.304348,0.085714,East
0,0,1,0,0.333333,0.25,1,1,1,1,0.642857,0.857143,0.647059,0.6,0.541667,0.8,0.652174,0.857143,0.242424,0.647059,0.521739,0.428571,East
