@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1

@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
14,1,True,True,True,True,10,13,13,13,14,13,17,13,16,13,12,15,West
13,1,True,True,True,True,10,13,13,13,14,13,17,13,15,12,13,16,West
12,1,True,True,True,True,10,13,13,13,14,13,17,13,14,13,14,17,North
12,2,True,True,True,True,10,13,13,13,14,13,17,13,13,12,13,16,North
12,3,True,True,True,True,10,13,13,13,14,13,17,13,12,11,12,15,West
11,3,True,True,True,True,10,13,13,13,14,13,17,13,11,12,13,16,West
10,3,True,True,True,True,10,13,13,13,14,13,17,13,10,13,14,17,West
9,3,True,True,True,True,10,13,13,13,14,13,17,13,11,14,15,18,North
9,4,True,True,True,True,10,13,13,13,14,13,17,13,10,13,14,17,North
9,5,True,True,True,True,10,13,13,13,14,13,17,13,9,12,13,16,North
9,6,True,True,True,True,10,13,13,13,14,13,17,13,8,11,12,15,East
10,6,True,True,True,True,10,13,13,13,14,13,17,13,7,10,11,14,East
11,6,True,True,True,True,10,13,13,13,14,13,17,13,8,9,10,13,East
12,6,True,True,True,True,10,13,13,13,14,13,17,13,9,8,9,12,North
12,7,True,True,True,True,10,13,13,13,14,13,17,13,8,7,8,11,North
12,8,True,True,True,True,10,13,13,13,14,13,17,13,7,6,7,10,North
12,9,True,True,True,True,10,13,13,13,14,13,17,13,6,5,6,9,West
11,9,True,True,True,True,10,13,13,13,14,13,17,13,5,6,7,10,West
10,9,True,True,True,True,10,13,13,13,14,13,17,13,4,7,8,11,West
9,9,True,True,True,True,10,13,13,13,14,13,17,13,5,8,9,12,West
8,9,True,True,True,True,10,13,13,13,14,13,17,13,6,9,10,13,North
8,10,True,True,True,True,10,13,13,13,14,13,17,13,5,8,9,12,North
8,11,True,True,True,True,10,13,13,13,14,13,17,13,4,7,8,11,North
8,12,True,True,True,True,10,13,13,13,14,13,17,13,3,6,7,10,North
8,13,True,True,True,True,10,13,13,13,14,13,17,13,2,5,6,9,North
8,14,True,True,True,True,10,13,13,13,14,13,17,13,3,6,7,10,North
8,15,True,True,True,True,10,13,13,13,14,13,17,13,4,7,8,11,East
9,15,True,True,True,True,10,13,13,13,14,13,17,13,3,6,7,10,East
10,15,True,True,True,True,10,13,13,13,14,13,17,13,2,5,6,9,East
11,15,True,True,True,True,10,13,13,13,14,13,17,13,3,4,5,8,East
12,15,True,True,True,True,10,13,13,13,14,13,17,13,4,3,4,7,East
13,15,True,True,True,True,10,13,13,13,14,13,17,13,5,2,3,6,South
13,14,True,True,True,True,10,13,13,13,14,13,17,13,4,1,2,5,South
13,13,True,False,True,True,10,13,3,1,14,13,17,13,3,0,1,4,West
12,13,True,False,True,True,10,13,3,1,14,13,17,13,2,0,2,5,West
11,13,True,False,True,True,10,13,3,1,14,13,17,13,1,0,3,6,West
10,13,False,False,True,True,1,1,3,1,14,13,17,13,0,0,4,7,East
11,13,False,False,True,True,1,1,3,1,14,13,17,13,0,0,3,6,East
12,13,False,False,True,True,1,1,3,1,14,13,17,13,0,0,2,5,East
