@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R4-7-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
East,1,1,3,1,21,12,23,11,0,0,8,9,East
East,1,1,3,1,20,12,23,11,0,0,8,8,East
East,1,1,3,1,20,11,23,11,0,0,8,6,East
East,10,13,15,16,15,16,17,13,7,15,15,14,East
East,10,13,15,15,15,15,17,13,8,13,13,12,East
East,13,14,17,18,14,15,14,13,5,11,5,8,East
East,13,14,17,18,13,15,15,13,4,10,3,6,East
East,13,15,18,18,14,15,14,13,2,10,3,4,East
East,13,15,18,18,14,15,14,14,1,9,2,3,East
East,1,3,16,18,6,1,6,1,25,5,0,0,East
East,1,2,18,19,6,1,8,1,31,3,0,0,East
East,1,1,18,20,5,1,9,1,0,3,0,0,East
East,3,4,6,11,14,8,14,12,19,9,6,1,East
East,1,1,8,13,5,1,7,1,0,11,0,0,East
East,1,1,8,14,5,1,7,1,0,11,0,0,East
East,1,1,8,13,5,1,7,1,0,9,0,0,East
East,1,1,7,13,5,1,7,1,0,7,0,0,East
East,1,1,3,1,16,8,24,15,0,0,18,32,East
East,1,1,3,1,15,8,23,15,0,0,16,31,East
East,1,1,3,1,15,7,23,15,0,0,14,30,East
East,1,1,3,1,15,8,23,15,0,0,14,30,East
East,1,1,3,1,16,8,24,15,0,0,14,28,East
East,1,1,3,1,16,7,24,14,0,0,12,26,East
East,1,1,3,1,16,7,24,14,0,0,7,22,East
East,1,1,3,1,15,7,24,14,0,0,5,20,East
