@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R15-18-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute pacmanXpos {'\'(-inf-3.4]\'','\'(3.4-5.8]\'','\'(5.8-8.2]\'','\'(8.2-10.6]\'','\'(10.6-13]\'','\'(13-15.4]\'','\'(15.4-17.8]\'','\'(17.8-20.2]\'','\'(20.2-22.6]\'','\'(22.6-inf)\''}
'\'(8.2-10.6]\'','\'(5-7]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(2.4-3.8]\'','\'(8-9.4]\'','\'(5.4-7.1]\'','\'(7-9]\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(6.6-8.9]\'','\'(-inf-2.4]\'',West
'\'(8.2-10.6]\'','\'(5-7]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(2.4-3.8]\'','\'(8-9.4]\'','\'(5.4-7.1]\'','\'(9-11]\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(6.6-8.9]\'','\'(-inf-2.4]\'',West
'\'(5.8-8.2]\'','\'(5-7]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(2.4-3.8]\'','\'(8-9.4]\'','\'(5.4-7.1]\'','\'(7-9]\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(6.6-8.9]\'','\'(-inf-2.4]\'',West
'\'(5.8-8.2]\'','\'(5-7]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(2.4-3.8]\'','\'(8-9.4]\'','\'(5.4-7.1]\'','\'(7-9]\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(6.6-8.9]\'','\'(-inf-2.4]\'',West
'\'(3.4-5.8]\'','\'(7-9]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-2.4]\'','\'(8-9.4]\'','\'(5.4-7.1]\'','\'(7-9]\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(6.6-8.9]\'','\'(-inf-2.4]\'',West
'\'(3.4-5.8]\'','\'(7-9]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-2.4]\'','\'(6.6-8]\'','\'(5.4-7.1]\'','\'(5-7]\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(6.6-8.9]\'','\'(-inf-2.4]\'',West
'\'(-inf-3.4]\'','\'(7-9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-2.4]\'','\'(-inf-2.4]\'','\'(5.4-7.1]\'','\'(5-7]\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(6.6-8.9]\'','\'(-inf-2.4]\'',West
'\'(8.2-10.6]\'','\'(9-11]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(3.8-5.2]\'','\'(3.8-5.2]\'','\'(3.7-5.4]\'','\'(9-11]\'','\'(20.2-22.6]\'','\'(8.5-10]\'','\'(22.7-inf)\'','\'(13.6-inf)\'',West
'\'(8.2-10.6]\'','\'(9-11]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(3.8-5.2]\'','\'(3.8-5.2]\'','\'(3.7-5.4]\'','\'(7-9]\'','\'(20.2-22.6]\'','\'(8.5-10]\'','\'(22.7-inf)\'','\'(13.6-inf)\'',West
'\'(5.8-8.2]\'','\'(9-11]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(5.2-6.6]\'','\'(3.8-5.2]\'','\'(3.7-5.4]\'','\'(7-9]\'','\'(20.2-22.6]\'','\'(8.5-10]\'','\'(22.7-inf)\'','\'(13.6-inf)\'',West
