@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R21-23-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R2-15-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanDirec=West numeric
@attribute pacmanDirec=East numeric
@attribute pacmanDirec=North numeric
@attribute pacmanDirec=South numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
0,0,1,0,0.538462,0.304348,0.304348,0.068966,East
0,1,0,0,0.615385,0.304348,0.304348,0.034483,East
0,1,0,0,0.653846,0.347826,0.391304,0,West
0,0,1,0,0.730769,0.347826,0.434783,0,West
1,0,0,0,0.692308,0.304348,0.347826,0,West
1,0,0,0,0.615385,0.304348,0.434783,0,South
0,0,0,1,0.615385,0.217391,0.391304,0,West
1,0,0,0,0.538462,0.130435,0.478261,0,West
1,0,0,0,0.461538,0.130435,0.521739,0,North
0,0,1,0,0.461538,0.130435,0.521739,0,North
0,0,1,0,0.461538,0.043478,0.521739,0,West
1,0,0,0,0.461538,0,0.521739,0,South
0,0,0,1,0.461538,0,0.478261,0,South
0,0,0,1,0.384615,0,0.478261,0,South
0,0,0,1,0.384615,0,0.434783,0,South
0,0,0,1,0.346154,0,0.391304,0,South
0,0,0,1,0.269231,0,0.304348,0,South
0,0,0,1,0.269231,0,0.304348,0,South
0,0,0,1,0.192308,0,0.217391,0,South
0,0,0,1,0.153846,0,0.217391,0,South
0,0,0,1,0.153846,0,0.26087,0,South
0,0,0,1,0.153846,0,0.347826,0,South
0,0,0,1,0.076923,0,0.347826,0,West
1,0,0,0,0.076923,0,0.434783,0,North
0,0,1,0,0.038462,0,0.347826,0,West
1,0,0,0,0,0,0.347826,0,North
0,0,1,0,0,0,0.347826,0,North
0,0,1,0,0,0,0.26087,0,North
0,0,1,0,0,0,0.217391,0,North
0,0,1,0,0,0,0.217391,0,North
0,0,1,0,0,0,0.173913,0,East
0,1,0,0,0,0,0.130435,0,East
0,1,0,0,0,0,0.043478,0,East
1,0,0,0,0.346154,0.173913,0.565217,0.62069,North
0,0,1,0,0.423077,0.173913,0.565217,0.586207,West
1,0,0,0,0.384615,0.130435,0.565217,0.586207,West
1,0,0,0,0.384615,0.130435,0.565217,0.586207,South
0,0,0,1,0.346154,0.130435,0.652174,0.62069,West
1,0,0,0,0.269231,0.130435,0.652174,0.689655,South
0,0,0,1,0.230769,0.130435,0.73913,0.689655,South
0,0,0,1,0.230769,0.086957,0.73913,0.758621,West
1,0,0,0,0.153846,0,0.826087,0.793103,South
0,0,0,1,0.115385,0,0.913043,0.827586,South
0,0,0,1,0.076923,0,0.913043,0.827586,South
0,0,0,1,0,0,0.913043,0.896552,North
0,0,0,1,0,0,1,0.896552,North
0,1,0,0,0,0,1,0.862069,East
0,1,0,0,0,0,0.956522,0.793103,North
