@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R15-18-weka.filters.unsupervised.attribute.Remove-R3-6-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute action {West,East,North,South,Stop}

@data
1,3,7,10,12,6,7,1,South
2,3,8,10,12,5,7,1,South
4,3,8,7,18,9,25,14,South
1,3,3,1,18,9,24,12,South
1,1,5,9,1,6,7,1,South
1,1,5,7,2,9,7,1,South
5,6,5,12,13,6,7,1,South
9,3,11,7,19,12,22,9,South
10,13,13,13,14,13,17,13,South
4,8,6,11,12,7,13,11,South
1,1,5,7,5,1,7,1,South
1,1,3,1,24,13,25,14,South
9,5,9,11,20,12,21,9,South
10,6,3,1,19,12,21,9,South
1,1,3,1,22,6,22,10,South
1,1,3,1,5,1,22,10,South
1,2,17,18,5,1,14,14,South
2,4,6,11,15,8,13,12,South
1,1,7,12,5,1,7,1,South
3,7,2,9,1,6,7,5,South
1,1,6,6,2,10,7,1,South
10,3,13,7,19,11,22,7,South
12,5,13,5,19,10,22,6,South
15,5,3,1,20,10,22,4,South
1,1,3,1,17,9,22,3,South
1,1,3,1,5,1,22,5,South
13,13,5,1,17,13,16,13,South
2,1,7,1,17,13,17,13,South
1,1,4,6,4,9,7,1,South
5,6,5,12,13,6,7,1,South
5,6,5,12,13,6,7,1,South
5,6,5,12,13,6,7,1,South
5,6,5,12,13,6,7,1,South
5,6,5,12,13,6,7,1,South
5,5,3,1,21,9,25,14,South
5,5,3,1,21,9,25,14,South
5,5,3,1,21,9,25,14,South
5,5,3,1,21,9,25,14,South
9,3,11,7,19,12,22,9,South
9,3,11,7,19,12,22,9,South
