@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R21-23-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R2-15-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-4

@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
0.090909,0.176471,0.391304,0.285714,North
0.090909,0.058824,0.347826,0.228571,North
0.121212,0,0.347826,0.257143,North
0,0.294118,0.086957,0,South
0.242424,0.823529,0,0,West
0.121212,0,0.695652,0.714286,West
0.030303,0,0.826087,0.8,West
0.090909,0,0.043478,0.114286,West
0.333333,0.588235,0.173913,0,West
0.363636,0.411765,0,0,West
0,0.176471,0.826087,0.657143,West
0,0,0,0.114286,West
0.515152,0.529412,0.173913,0,West
0.393939,0.588235,0.043478,0,West
0.333333,0.176471,0.434783,0.514286,West
0.30303,0,0.478261,0.6,West
0.242424,0,0.608696,0.771429,West
0.030303,0,0.869565,0.971429,West
0,0.176471,0.173913,0,West
0,0.176471,0.086957,0,West
0,0,0.26087,0,West
0,0,0.913043,0.857143,East
0.181818,0.588235,1,0.657143,East
0.060606,0.470588,0.913043,0.6,East
0,0.411765,0,0,East
0.121212,0,0,0,East
0.424242,0.588235,0.73913,0.571429,East
0.212121,0.176471,0.652174,0.4,East
0.090909,0,0.73913,0.4,East
0.030303,0,0.826087,0.457143,East
0,0,0.130435,0.057143,East
0.393939,0.529412,0,0,East
0.121212,0.411765,0.26087,0,East
0,0.176471,0.130435,0,East
0.090909,0.235294,0.695652,0.428571,East
0.030303,0.117647,0.652174,0.371429,East
0.060606,0,0.434783,0.228571,East
0,0,0,0.257143,East
0,0,0,0.085714,East
0,0,0,0.028571,East
0,0,0.217391,0.142857,East
0,0,0.130435,0.085714,East
0,0,0,0.142857,North
0.69697,0.529412,0,0,North
0.393939,0.529412,0.217391,0,South
0.363636,0.588235,0.173913,0,South
0.333333,0.647059,0.130435,0,South
0.30303,0.705882,0.086957,0,South
0.272727,0.764706,0.043478,0,South
0.212121,0,0.652174,0.628571,South
0.181818,0,0.608696,0.657143,South
0.151515,0,0.652174,0.685714,South
0.060606,0,0.782609,0.771429,South
0.393939,0.647059,0.695652,0.571429,South
0.363636,0.588235,0.73913,0.542857,South
0.333333,0.529412,0.782609,0.514286,South
0.30303,0.470588,0.826087,0.542857,South
0.272727,0.411765,0.869565,0.571429,South
0.242424,0.470588,0.913043,0.6,South
0.212121,0.529412,0.956522,0.628571,South
0.121212,0.058824,0.086957,0.142857,South
0.333333,0.411765,0.173913,0,South
0.333333,0.470588,0.173913,0,South
0.333333,0.470588,0.173913,0,South
0.30303,0.411765,0.086957,0,South
0.030303,0.117647,0.73913,0.657143,South
0.151515,0,0.521739,0.342857,South
0.090909,0,0.608696,0.314286,South
0.090909,0,0.652174,0.342857,South
0.090909,0,0.73913,0.342857,South
0,0,0.130435,0.057143,South
0,0,0.043478,0.085714,South
0.636364,0.588235,0.173913,0,South
0.636364,0.588235,0.173913,0,South
0.575758,0.529412,0.173913,0,South
0.575758,0.411765,0.173913,0,South
0.454545,0.588235,0.130435,0,South
0.393939,0.176471,0.391304,0.514286,South
0.333333,0.058824,0.434783,0.571429,South
0.333333,0,0.434783,0.571429,South
0.272727,0,0.565217,0.714286,South
0,0.058824,0.26087,0,South
0.30303,0.529412,0.434783,0.485714,South
0.242424,0.529412,0.434783,0.485714,South
0.212121,0.470588,0.434783,0.428571,South
0.212121,0.352941,0.521739,0.371429,South
0.212121,0.352941,0.608696,0.371429,South
0.151515,0.352941,0.695652,0.428571,South
0,0,0,0.314286,South
0,0,0,0.114286,South
0,0,0,0.114286,South
