@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R15-18-weka.filters.unsupervised.attribute.Remove-R3-6

@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute action {West,East,North,South,Stop}

@data
10,5,11,5,3,1,23,11,21,9,East
21,9,1,1,3,1,22,7,22,11,East
12,5,1,3,8,10,5,1,7,1,East
6,5,4,7,3,9,1,6,7,1,East
4,8,1,1,6,7,2,9,7,1,East
9,5,12,5,13,5,20,10,23,7,East
11,4,11,5,12,5,19,11,22,6,East
14,5,15,6,3,1,19,10,22,4,East
17,8,1,1,3,1,5,1,22,3,East
20,5,1,1,3,1,5,1,22,4,East
20,4,1,1,3,1,5,1,22,4,East
13,14,1,1,6,1,17,13,16,13,East
14,13,2,1,7,1,17,13,17,13,East
5,6,1,1,5,12,5,1,7,1,North
2,7,1,10,2,8,2,9,7,1,North
12,1,10,13,13,13,14,13,17,13,North
9,3,10,13,13,13,14,13,17,13,North
8,9,10,13,13,13,14,13,17,13,North
6,6,4,9,7,9,5,1,7,1,North
3,8,1,9,6,7,5,1,7,1,North
5,8,1,1,5,9,22,10,24,13,North
12,1,10,13,12,13,15,13,16,13,North
9,3,11,13,14,15,15,15,16,13,North
8,9,11,13,17,15,17,15,15,13,North
1,5,1,8,10,12,5,1,7,1,North
5,5,6,6,4,10,1,6,7,1,North
1,6,1,1,6,6,2,9,7,1,North
4,6,1,1,3,1,3,8,7,1,North
3,8,1,1,3,1,3,9,7,1,North
12,1,11,13,14,14,15,13,16,13,North
9,3,13,13,13,15,14,13,16,13,North
8,9,10,13,8,14,16,13,16,13,North
6,8,1,1,5,12,5,1,7,1,North
8,4,1,1,3,1,21,9,25,14,North
12,6,1,1,3,1,21,9,25,14,North
15,8,1,1,3,1,21,9,25,14,North
25,9,1,1,3,1,5,1,25,14,North
3,5,1,10,2,8,2,9,3,7,North
11,3,1,1,11,7,19,12,22,9,North
22,7,1,1,3,1,19,12,22,9,North
12,6,10,13,13,13,14,13,17,13,North
17,9,1,1,3,1,24,13,23,14,North
22,13,1,1,3,1,24,13,23,14,North
2,5,1,9,2,8,1,10,2,7,North
3,7,3,9,2,10,1,9,3,8,North
3,8,2,9,3,1,5,1,7,1,North
9,10,10,6,10,12,20,12,21,9,North
23,5,1,1,3,1,19,11,23,10,North
12,6,10,13,15,15,16,15,16,13,North
15,15,1,2,17,18,6,1,6,1,North
18,18,1,2,18,21,5,1,9,1,North
6,8,1,1,7,12,5,1,7,1,North
8,4,1,1,3,1,15,7,23,14,North
16,7,1,1,3,1,5,1,23,11,North
23,9,1,1,3,1,5,1,23,10,North
3,5,1,7,2,8,1,8,6,6,North
5,9,1,1,4,7,4,10,7,1,North
12,6,12,13,12,15,13,13,15,13,North
12,11,5,6,5,12,13,6,13,12,North
5,7,1,1,5,12,5,1,7,1,North
6,9,1,1,5,12,5,1,7,1,North
6,10,1,1,5,12,5,1,7,1,North
6,11,1,1,5,12,5,1,7,1,North
8,5,1,1,3,1,21,9,25,14,North
12,7,1,1,3,1,21,9,25,14,North
25,10,1,1,3,1,5,1,25,14,North
25,11,1,1,3,1,5,1,25,14,North
25,12,1,1,3,1,5,1,25,14,North
25,13,1,1,3,1,5,1,25,14,North
1,4,1,10,2,8,2,9,3,7,North
3,6,1,10,2,8,2,9,3,7,North
2,8,1,10,3,1,2,9,7,1,North
2,9,1,10,3,1,5,1,7,1,North
11,4,1,1,11,7,19,12,22,9,North
11,5,1,1,11,7,19,12,22,9,North
11,6,1,1,11,7,19,12,22,9,North
22,8,1,1,3,1,19,12,22,9,North
22,9,1,1,3,1,19,12,7,1,North
22,10,1,1,3,1,19,12,7,1,North
22,11,1,1,3,1,19,12,7,1,North
12,2,10,13,13,13,14,13,17,13,North
9,4,10,13,13,13,14,13,17,13,North
9,5,10,13,13,13,14,13,17,13,North
12,7,10,13,13,13,14,13,17,13,North
12,8,10,13,13,13,14,13,17,13,North
8,10,10,13,13,13,14,13,17,13,North
8,11,10,13,13,13,14,13,17,13,North
8,12,10,13,13,13,14,13,17,13,North
8,13,10,13,13,13,14,13,17,13,North
8,14,10,13,13,13,14,13,17,13,North
12,11,5,8,5,12,12,6,14,12,North
6,7,3,9,8,9,5,1,7,1,North
17,10,1,1,3,1,24,14,23,14,North
17,11,1,1,3,1,25,14,23,13,North
17,12,1,1,3,1,25,13,23,14,North
1,4,1,9,2,6,1,9,2,7,North
2,6,2,9,2,9,1,9,3,7,North
3,8,4,9,2,9,1,10,7,1,North
23,6,1,1,3,1,20,11,23,11,North
23,7,1,1,3,1,20,10,23,12,North
23,8,1,1,3,1,20,10,22,12,North
23,9,1,1,3,1,20,9,21,12,North
22,7,1,1,3,1,5,1,23,10,North
22,8,1,1,3,1,5,1,22,10,North
22,9,1,1,3,1,5,1,23,10,North
22,11,1,1,3,1,5,1,23,10,North
12,2,11,13,13,13,15,13,17,13,North
9,4,11,13,13,15,15,15,16,13,North
9,5,10,13,14,15,14,15,17,13,North
12,7,10,13,16,15,17,15,16,13,North
12,8,10,13,17,15,18,15,17,13,North
8,10,11,13,16,15,16,15,14,13,North
8,11,10,13,15,15,16,15,15,13,North
8,12,11,13,15,16,15,15,16,13,North
8,13,11,13,15,17,15,15,15,13,North
8,14,12,13,15,18,15,15,16,13,North
15,16,1,1,16,18,6,1,7,1,North
15,17,2,1,17,18,6,1,6,1,North
18,19,1,3,17,21,6,1,10,1,North
18,20,2,3,17,21,5,1,11,1,North
12,11,4,5,5,11,13,8,13,13,North
12,12,3,5,5,12,14,8,14,13,North
1,6,1,9,10,13,5,1,7,1,North
1,7,1,8,9,13,5,1,7,1,North
6,9,1,1,7,13,5,1,7,1,North
6,10,1,1,8,13,5,1,7,1,North
6,11,1,1,8,13,5,1,7,1,North
8,5,1,1,3,1,16,7,23,13,North
8,6,1,1,3,1,15,7,23,14,North
16,8,1,1,3,1,5,1,23,11,North
1,4,1,8,3,8,2,8,4,7,North
5,6,6,7,4,10,1,6,7,1,North
1,7,1,1,5,6,3,9,7,1,North
4,7,1,1,3,1,3,9,7,1,North
16,6,1,1,3,1,18,10,22,4,North
16,7,1,1,3,1,18,10,23,4,North
16,8,1,1,3,1,18,9,23,4,North
12,2,10,13,13,14,15,13,15,13,North
9,4,13,13,12,15,14,14,17,13,North
9,5,12,13,12,16,13,14,16,13,North
12,7,13,13,11,15,14,13,16,13,North
12,8,13,13,10,15,15,13,17,13,North
8,10,11,13,8,15,16,13,16,13,North
8,11,10,13,8,14,15,13,16,13,North
8,12,10,13,8,15,16,13,17,13,North
8,13,11,13,8,14,16,13,17,13,North
8,14,11,13,2,1,15,13,16,13,North
22,6,1,1,3,1,5,1,22,10,North
13,14,1,3,18,18,6,1,7,1,North
7,11,5,5,7,10,21,9,25,14,South
6,7,5,5,3,1,21,9,25,14,South
5,5,1,1,3,1,21,9,25,14,South
11,8,2,9,7,11,10,5,7,1,South
1,9,1,1,8,7,5,1,7,1,South
6,10,6,7,5,9,23,10,24,13,South
1,9,5,9,3,1,5,1,7,1,South
21,10,1,1,3,1,22,8,21,11,South
21,11,1,1,3,1,5,1,21,10,South
13,8,1,3,7,10,12,6,7,1,South
12,6,2,3,8,10,12,5,7,1,South
9,11,4,3,8,7,18,9,25,14,South
8,6,1,3,3,1,18,9,24,12,South
4,7,1,1,5,9,1,6,7,1,South
4,9,1,1,5,7,2,9,7,1,South
13,12,5,6,5,12,13,6,7,1,South
7,4,9,3,11,7,19,12,22,9,South
13,15,10,13,13,13,14,13,17,13,South
13,12,4,8,6,11,12,7,13,11,South
5,8,1,1,5,7,5,1,7,1,South
24,14,1,1,3,1,24,13,25,14,South
8,11,9,5,9,11,20,12,21,9,South
10,11,10,6,3,1,19,12,21,9,South
22,9,1,1,3,1,22,6,22,10,South
23,12,1,1,3,1,5,1,22,10,South
13,15,1,2,17,18,5,1,14,14,South
