@relation var5_norm_balanced

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
West,0.416667,0.1,True,True,True,True,0.714286,0.857143,0.705882,0.65,0.625,0.8,0.590909,0.857143,0.30303,0.875,0.652174,0.441176,West
West,0.166667,0.3,False,True,True,False,0,0,0.176471,0.35,0,0.266667,0.181818,0,0,0.0625,0.26087,0,West
West,0.875,0.45,False,False,True,True,0,0,0.058824,0,0.875,0.533333,0.863636,0.714286,0,0,0.043478,0.058824,West
North,0.166667,0.4,False,False,True,True,0,0,0.058824,0,0.875,0.666667,1,0.857143,0,0,0.826087,0.735294,West
South,0.5,0.35,True,True,True,False,0.071429,0.5,0.235294,0.5,0.416667,0.333333,0.181818,0,0.333333,0.625,0.173913,0,West
West,0.166667,0.15,True,False,True,True,0.142857,0.142857,0.058824,0,0.708333,0.466667,0.954545,0.857143,0.090909,0,0.73913,0.852941,West
North,0.208333,0.55,False,True,False,False,0,0,0.176471,0.55,0.166667,0,0.181818,0,0,0.0625,0,0,West
North,0.458333,0.1,True,True,True,True,0.642857,0.857143,0.647059,0.6,0.541667,0.8,0.636364,0.857143,0.363636,0.6875,0.521739,0.441176,West
South,0.333333,0.4,True,True,True,True,0.214286,0.142857,0.352941,0.3,0.708333,0.6,1,0.785714,0.333333,0.1875,0.434783,0.529412,West
West,0.125,0.2,True,True,False,False,0,0.5,0.411765,0.6,0.166667,0,0.181818,0,0.181818,0.8125,0,0,West
West,0.041667,0.4,False,True,False,False,0,0,0.294118,0.3,0.166667,0,0.181818,0,0,0.4375,0,0,West
West,0.291667,0.45,True,True,True,True,0.357143,0.285714,0.117647,0.4,0.875,0.6,1,0.928571,0.212121,0.3125,0.608696,0.588235,West
East,0.208333,0.3,False,True,True,False,0,0,0.176471,0.4,0.041667,0.266667,0.181818,0,0,0.1875,0.26087,0,West
West,0.333333,0.25,True,True,False,False,0.142857,0.571429,0.235294,0.45,0.166667,0,0.181818,0,0.272727,0.4375,0,0,West
West,0.291667,0.25,True,True,False,False,0.285714,0.357143,0.176471,0.55,0.166667,0,0.181818,0,0.090909,0.5625,0,0,West
West,0.375,0.25,True,True,False,False,0.285714,0.357143,0.176471,0.55,0.166667,0,0.181818,0,0.151515,0.6875,0,0,West
North,0,0.15,False,False,True,True,0,0,0.058824,0,0.625,0.466667,0.954545,1,0,0,0.826087,1,East
East,0.333333,0.7,True,False,True,True,0.857143,0.857143,0.058824,0,0.625,0.8,0.636364,0.857143,0.181818,0,0.391304,0.264706,East
North,0.416667,0.3,False,False,True,True,0,0,0.058824,0,0.75,0.733333,0.863636,0.571429,0,0,0.565217,0.382353,East
North,0.458333,0.6,True,True,True,True,0.142857,0.214286,0.176471,0.5,0.541667,0.533333,0.5,0.857143,0.545455,0.5625,0.26087,0.088235,East
East,0.083333,0.35,False,True,False,False,0,0,0.352941,0.65,0.166667,0,0.181818,0,0,0.6875,0,0,East
East,0.416667,0.4,False,False,True,True,0,0,0.058824,0,0.875,0.8,0.863636,0.928571,0,0,0.652174,0.5,East
South,0.791667,0.2,False,False,False,True,0,0,0.058824,0,0.166667,0,0.863636,0.214286,0,0,0,0.088235,East
North,0.458333,0.6,True,True,True,True,0.142857,0.214286,0.176471,0.5,0.541667,0.533333,0.5,0.857143,0.545455,0.5625,0.26087,0.088235,East
East,0.708333,0.6,False,False,True,True,0,0,0.058824,0,1,0.933333,0.909091,0.928571,0,0,0.391304,0.205882,East
East,0.791667,0.3,False,False,True,True,0,0,0.058824,0,0.75,0.733333,0.863636,0.571429,0,0,0.26087,0.117647,East
South,0.791667,0.2,False,False,False,True,0,0,0.058824,0,0.166667,0,0.863636,0.214286,0,0,0,0.088235,East
East,0.416667,0.25,False,False,True,True,0,0,0.058824,0,0.833333,0.533333,1,0.928571,0,0,0.565217,0.647059,East
East,0.458333,0.7,True,True,True,True,0.642857,0.857143,0.647059,0.6,0.541667,0.8,0.636364,0.857143,0.121212,0.1875,0.173913,0.205882,East
East,0.666667,0.3,False,False,True,True,0,0,0.058824,0,0.75,0.733333,0.863636,0.571429,0,0,0.304348,0.205882,East
East,0.458333,0.4,False,False,True,True,0,0,0.058824,0,0.833333,0.8,0.909091,0.928571,0,0,0.565217,0.441176,East
North,0.166667,0.35,False,True,False,False,0,0,0.176471,0.55,0.166667,0,0.181818,0,0,0.25,0,0,East
North,0.875,0.65,False,False,True,True,0,0,0.058824,0,0.958333,0.733333,0.909091,0.928571,0,0,0.173913,0.058824,East
East,0.625,0.85,False,True,False,False,0,0.071429,0.941176,0.9,0.208333,0,0.227273,0,0.939394,0.1875,0,0,East
East,0.458333,0.3,False,False,True,True,0,0,0.058824,0,0.75,0.733333,0.863636,0.571429,0,0,0.521739,0.352941,East
East,0.916667,0.65,False,False,True,True,0,0,0.058824,0,0.958333,0.8,0.954545,0.928571,0,0,0.086957,0.058824,East
East,0.958333,0.4,False,False,False,True,0,0,0.058824,0,0.166667,0,1,0.928571,0,0,0,0.176471,East
East,0.416667,0.25,True,True,True,True,0.642857,0.857143,0.764706,0.7,0.583333,0.933333,0.636364,0.857143,0.242424,0.8125,0.565217,0.352941,East
East,0.666667,0.85,False,True,False,False,0,0,0.941176,0.95,0.166667,0,0.272727,0,0,0.1875,0,0,East
West,0.416667,0.2,True,False,True,True,0.785714,0.357143,0.058824,0,0.791667,0.666667,0.909091,0.285714,0.060606,0,0.652174,0.352941,East
East,0.375,0.4,False,False,True,True,0,0,0.058824,0,0.875,0.733333,0.863636,1,0,0,0.652174,0.5,East
East,0.458333,0.3,False,False,True,True,0,0,0.058824,0,0.583333,0.4,0.954545,0.857143,0,0,0.130435,0.529412,East
South,0.416667,0.15,True,True,True,True,0.714286,0.285714,0.588235,0.2,0.75,0.666667,0.863636,0.357143,0.030303,0.125,0.652174,0.382353,East
East,0.25,0.5,True,True,True,True,0.571429,0.214286,0.411765,0.45,0.75,0.733333,0.772727,0.571429,0.272727,0.1875,0.565217,0.470588,East
East,0.833333,0.4,False,False,False,True,0,0,0.058824,0,0.166667,0,0.909091,0.714286,0,0,0,0.088235,East
South,0.416667,0.15,True,True,True,True,0.714286,0.285714,0.588235,0.2,0.75,0.666667,0.863636,0.357143,0.030303,0.125,0.652174,0.382353,East
East,0.208333,0.55,True,True,True,True,0.642857,0.142857,0.588235,0.4,0.708333,0.666667,0.818182,0.5,0.393939,0.5625,0.565217,0.588235,East
North,0.291667,0.3,False,False,True,True,0,0,0.058824,0,0.625,0.4,0.909091,0.928571,0,0,0.347826,0.676471,East
East,0.375,0.7,True,True,True,True,0.857143,0.928571,0.882353,0.85,0.5,0.933333,0.545455,0.857143,0.121212,0.625,0.130435,0.176471,East
