@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
East,4,9,False,False,True,True,1,1,3,1,22,9,25,13,0,0,18,26,East
East,5,9,False,False,True,True,1,1,3,1,22,8,25,14,0,0,18,24,South
South,5,8,False,False,True,True,1,1,3,1,22,7,24,14,0,0,18,24,East
East,6,8,False,False,True,True,1,1,3,1,23,7,24,13,0,0,18,22,South
South,6,7,False,False,True,True,1,1,3,1,22,7,24,12,0,0,16,24,East
East,7,7,False,False,True,True,1,1,3,1,21,7,25,12,0,0,14,23,East
East,8,7,False,False,True,True,1,1,3,1,21,7,25,12,0,0,13,23,East
East,9,7,False,False,True,True,1,1,3,1,21,6,25,13,0,0,13,21,South
South,9,6,False,False,True,True,1,1,3,1,22,6,24,13,0,0,13,21,East
East,10,6,False,False,True,True,1,1,3,1,22,5,24,12,0,0,13,21,East
East,11,6,False,False,True,True,1,1,3,1,22,6,24,13,0,0,11,19,East
East,12,6,False,False,True,True,1,1,3,1,22,7,23,13,0,0,11,17,North
North,12,7,False,False,True,True,1,1,3,1,22,7,22,13,0,0,10,17,East
East,13,7,False,False,True,True,1,1,3,1,22,8,22,14,0,0,10,15,North
North,13,8,False,False,True,True,1,1,3,1,21,8,21,14,0,0,8,13,East
East,14,8,False,False,True,True,1,1,3,1,20,8,20,14,0,0,6,11,East
East,15,8,False,False,True,True,1,1,3,1,20,8,19,14,0,0,5,10,East
East,16,8,False,False,True,True,1,1,3,1,20,8,19,14,0,0,4,8,East
East,17,8,False,False,True,True,1,1,3,1,21,8,18,14,0,0,4,6,East
East,18,8,False,False,True,True,1,1,3,1,22,8,17,14,0,0,4,8,North
North,18,9,False,False,True,True,1,1,3,1,22,9,16,14,0,0,4,7,East
East,19,9,False,False,True,True,1,1,3,1,23,9,16,14,0,0,4,7,East
East,20,9,False,False,True,True,1,1,3,1,24,9,17,14,0,0,4,7,East
East,21,9,False,False,True,True,1,1,3,1,24,9,17,13,0,0,3,7,East
East,22,9,False,False,True,True,1,1,3,1,25,9,18,13,0,0,3,8,East
East,23,9,False,False,True,True,1,1,3,1,25,9,18,13,0,0,2,9,East
East,24,9,False,False,True,True,1,1,3,1,25,8,18,13,0,0,2,11,South
South,24,8,False,False,False,True,1,1,3,1,5,1,17,13,0,0,0,12,North
West,23,8,False,False,False,True,1,1,3,1,5,1,17,13,0,0,0,12,North
North,23,9,False,False,False,True,1,1,3,1,5,1,17,14,0,0,0,11,North
North,23,10,False,False,False,True,1,1,3,1,5,1,17,14,0,0,0,10,North
North,23,11,False,False,False,True,1,1,3,1,5,1,17,14,0,0,0,10,North
North,23,12,False,False,False,True,1,1,3,1,5,1,16,14,0,0,0,8,North
North,23,13,False,False,False,True,1,1,3,1,5,1,17,14,0,0,0,6,North
North,23,14,False,False,False,True,1,1,3,1,5,1,18,14,0,0,0,6,West
West,22,14,False,False,False,True,1,1,3,1,5,1,18,13,0,0,0,4,South
South,22,13,False,False,False,True,1,1,3,1,5,1,18,14,0,0,0,6,North
West,21,13,False,False,False,True,1,1,3,1,5,1,18,15,0,0,0,4,North
North,21,14,False,False,False,True,1,1,3,1,5,1,19,15,0,0,0,2,North
North,21,15,False,False,False,True,1,1,3,1,5,1,20,15,0,0,0,2,West
West,20,15,False,False,False,True,1,1,3,1,5,1,20,14,0,0,0,1,South
North,1,4,True,True,True,True,2,10,2,9,3,9,3,7,7,6,7,6,North
North,1,5,True,True,True,True,2,9,2,9,2,9,3,8,5,5,5,5,North
North,1,6,True,True,True,True,2,10,1,9,2,8,3,8,5,3,3,3,North
North,1,7,True,True,True,True,2,10,2,9,3,8,2,8,4,3,3,2,North
North,1,8,True,True,True,True,2,9,3,9,3,7,2,8,2,3,3,2,North
North,1,9,True,True,True,True,2,10,3,10,4,7,2,7,2,3,5,4,North
North,1,10,True,True,True,True,2,9,3,10,4,7,3,7,2,2,6,6,South
East,2,10,True,True,True,True,2,9,4,10,4,8,3,6,1,2,4,4,South
South,2,9,False,True,True,True,1,1,4,9,4,9,2,6,0,2,2,4,East
East,3,9,False,False,False,True,1,1,3,1,5,1,2,5,0,0,0,6,South
South,3,8,False,False,False,True,1,1,3,1,5,1,2,4,0,0,0,4,South
South,3,7,False,False,False,True,1,1,3,1,5,1,3,4,0,0,0,3,South
South,3,6,False,False,False,True,1,1,3,1,5,1,3,4,0,0,0,3,South
South,3,5,False,False,False,True,1,1,3,1,5,1,2,4,0,0,0,1,South
